33,Dominic Stanley,vilelfi@iz.bg,12/15/1995,(983) 204-2068
22,Manuel Swanson,sehje@fe.gy,1/29/1981,(566) 566-9922
01,Lucinda Neal,kil@go.kh,7/16/1992,(860) 209-8890
08,Chad Day,ficiv@jizerpi.uz,12/9/1965,(439) 584-5623
03,Fanny Wagner,keajba@hi.lu,11/3/1967,(273) 970-1340
24,Mike Morgan,vuwita@descole.sg,4/27/1983,(648) 550-2411
44,Jessie Cain,judce@vir.mr,11/19/1967,(603) 465-1203
11,Russell Barker,sirij@vumpesa.net,1/17/1983,(543) 599-6887
05,Ethan Bowman,rab@pepvas.so,7/22/1970,(287) 545-5755
01,Birdie Russell,magihu@fili.am,8/22/2000,(784) 294-1182
